device_id;login;ip;user_agent
0a10a4e8-4ad5-44ae-9560-5265837fe1f4;d21e16e4f73eee03a4af84277fa2d2c7450842f6;['188.234.164.151'];Mozilla/5.0 (Windows NT 6.1, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;53e47e39ace11a4326d448b9707cf354488479ee;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;429fbfbbf1149c5acc874e0d2d3d6192001ec337;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;273e6429a6f100c3cd628f9381ddd1fce46eb922;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;38709772baf01683ba70017ad40600f9ce399c56;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;3062ace3cea5074e292b2e9413b4172390dc99ea;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;08d5312aac113eedf601dee9d4227e54aebecbbc;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;3f1924358e7ad78b3a7e47870c67c6a017b071fe;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;273e6429a6f100c3cd628f9381ddd1fce46eb922;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;aeae2e0027d83475dc55f993f136161b4a75ae04;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;b9a7029644c9707e2da5ee8ff5844ceadd9c2f83;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;26f86eed3aab061b191a226b9ff3c99b8c334482;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;429fbfbbf1149c5acc874e0d2d3d6192001ec337;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;79c64efd0baae5a6b3ac1daa14d9e5dde19415d1;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;d21e16e4f73eee03a4af84277fa2d2c7450842f6;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;f07585946be13d03244084910072c267bfdd5b54;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;5ec8c04c272d492b753ff6af3fd2b6562ca1c534;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;7f23bb5ad2d6e8fbc58c7ae39597955f62ddb944;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;80d9b10fbe5cce0e1414241f4ac8400059465fbc;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;12beba277b26bb0e54d39a44d5f124e353b39f54;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;273e6429a6f100c3cd628f9381ddd1fce46eb922;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;0bab59b0ca0b39d6ff4f2560230a1345f9ac26c9;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;ac26edbb898736ee19db5099b1177ff384260bfd;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;38709772baf01683ba70017ad40600f9ce399c56;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;81a40510e56e62018a978454daf7058f7107df24;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;9665a501877d5616f0f31da87d6e514384ee4abd;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;c7e0c4435991bbe840d321c5ace43497f2db097d;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;e700a38fa45e4e9d0a90ae09460f57e4bd07b21f;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;098b25fe8264f9e2b4a9d55cfd27283d90034a33;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;156213b96ee2a0b2bcee82ba3280f260f358144f;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
1a337b50-d8c7-49bd-8460-949f758f05ab;1a7ac94cc19cfc259e4de837b319415ea894764e;['188.234.164.151'];Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
